doc_id,author,title,canonical_url,ingested_at
183,"Shoghi Effendi","Baha'i Administration",https://www.bahai.org/library/authoritative-texts/shoghi-effendi/bahai-administration/bahai-administration.docx,2026-02-24T20:52:36.840320700Z
184,"Shoghi Effendi","Citadel of Faith",https://www.bahai.org/library/authoritative-texts/shoghi-effendi/citadel-faith/citadel-faith.docx,2026-02-24T20:52:37.116368400Z
185,"Shoghi Effendi","God Passes By",https://www.bahai.org/library/authoritative-texts/shoghi-effendi/god-passes-by/god-passes-by.docx,2026-02-24T20:52:37.372829300Z
182,"Shoghi Effendi","The Advent of Divine Justice",https://www.bahai.org/library/authoritative-texts/shoghi-effendi/advent-divine-justice/advent-divine-justice.docx,2026-02-24T20:52:36.656731Z
186,"Shoghi Effendi","The Promised Day Is Come",https://www.bahai.org/library/authoritative-texts/shoghi-effendi/promised-day-come/promised-day-come.docx,2026-02-24T20:52:37.761568500Z
188,"Shoghi Effendi","The World Order of Baha'u'llah",https://www.bahai.org/library/authoritative-texts/shoghi-effendi/world-order-bahaullah/world-order-bahaullah.docx,2026-02-24T20:52:38.258144200Z
187,"Shoghi Effendi","This Decisive Hour",https://www.bahai.org/library/authoritative-texts/shoghi-effendi/decisive-hour/decisive-hour.docx,2026-02-24T20:52:38.049163100Z
197,"Universal House of Justice","Framework for Action",https://www.bahai.org/library/authoritative-texts/the-universal-house-of-justice/framework-action/framework-action.pdf,2026-02-24T20:52:45.276000300Z
191,"Universal House of Justice","Letter to the World's Religious Leaders",https://www.bahai.org/library/authoritative-texts/the-universal-house-of-justice/messages/20020401_001/20020401_001.docx,2026-02-24T20:52:38.758614300Z
193,"Universal House of Justice","Messages from the Universal House of Justice 1963-1986 The Third Epoch",https://www.bahai.org/library/authoritative-texts/the-universal-house-of-justice/muhj-1963-1986/muhj-1963-1986.docx,2026-02-24T20:52:39.209496300Z
194,"Universal House of Justice","Messages from the Universal House of Justice 1986-2000 the Fourth Epoch",https://www.bahai.org/library/authoritative-texts/the-universal-house-of-justice/muhj-1986-2001/muhj-1986-2001.pdf,2026-02-24T20:52:42.461703700Z
195,"Universal House of Justice","Messages from the Universal House of Justice 2001-2022 The Fifth Epoch",https://www.bahai.org/library/authoritative-texts/the-universal-house-of-justice/muhj-2001-2022/muhj-2001-2022.docx,2026-02-24T20:52:42.907094400Z
192,"Universal House of Justice","Reflections on the First Century of the Formative Age",https://www.bahai.org/library/authoritative-texts/the-universal-house-of-justice/messages/20231128_001/20231128_001.docx,2026-02-24T20:52:38.797707700Z
190,"Universal House of Justice","The Institution of the Counsellors",https://www.bahai.org/library/authoritative-texts/the-universal-house-of-justice/the-institution-of-the-counsellors/the-institution-of-the-counsellors.docx,2026-02-24T20:52:38.599452400Z
189,"Universal House of Justice","The Promise of World Peace",https://www.bahai.org/library/authoritative-texts/the-universal-house-of-justice/messages/19851001_001/19851001_001.docx,2026-02-24T20:52:38.546752600Z
196,"Universal House of Justice","Turning Point 1996-2006",https://www.bahai.org/library/authoritative-texts/the-universal-house-of-justice/turning-point/turning-point.docx,2026-02-24T20:52:44.087421900Z
