filename,title,author,source_format,original_url,
paris-talks.xhtml,Paris Talks,'Abdu'l-Baha,xhtml,https://www.bahai.org/library/authoritative-texts/abdul-baha/paris-talks/paris-talks.docx,
peace.xhtml,Peace,Compilation,xhtml,https://www.bahai.org/library/authoritative-texts/compilations/peace/peace.docx,
power-divine-assistance.xhtml,The Power of Divine Assistance,Compilation,xhtml,https://www.bahai.org/library/authoritative-texts/compilations/power-divine-assistance/power-divine-assistance.docx,
prayer-devotional-life.xhtml,Prayer and Devotional Life,Compilation,xhtml,https://www.bahai.org/library/authoritative-texts/compilations/prayer-devotional-life/prayer-devotional-life.docx,
prayers-meditations.xhtml,Prayers and Meditations by Baha'u'llah,Baha'u'llah,xhtml,https://www.bahai.org/library/authoritative-texts/bahaullah/prayers-meditations/prayers-meditations.docx,
promised-day-come.xhtml,The Promised Day Is Come,Shoghi Effendi,xhtml,https://www.bahai.org/library/authoritative-texts/shoghi-effendi/promised-day-come/promised-day-come.docx,
promulgation-universal-peace.xhtml,The Promulgation of Universal Peace,'Abdu'l-Baha,xhtml,https://www.bahai.org/library/authoritative-texts/abdul-baha/promulgation-universal-peace/promulgation-universal-peace.docx,
sanctity-nature-bahai-elections.xhtml,The Sanctity and Nature of Baha'i Elections,Compilation,xhtml,https://www.bahai.org/library/authoritative-texts/compilations/sanctity-nature-bahai-elections/sanctity-nature-bahai-elections.docx,
scholarship.xhtml,Scholarship,Compilation,xhtml,https://www.bahai.org/library/authoritative-texts/compilations/scholarship/scholarship.docx,
secret-divine-civilization.xhtml,The Secret of Divine Civilization,Abdu'l-Baha,xhtml,https://www.bahai.org/library/authoritative-texts/abdul-baha/secret-divine-civilization/secret-divine-civilization.docx,
selections-writings-abdul-baha.xhtml,Selections from the Writings of 'Abdu'l-Baha,'Abdu'l-Baha,xhtml,https://www.bahai.org/library/authoritative-texts/abdul-baha/selections-writings-abdul-baha/selections-writings-abdul-baha.docx,
selections-writings-bab.xhtml,Selections from the Writings of the Bab,Bab,xhtml,https://www.bahai.org/library/authoritative-texts/the-bab/selections-writings-bab/selections-writings-bab.docx,
set-world-order.xhtml,To Set the World in Order: Building and Preserving Strong Marriages,Compilation,xhtml,https://www.bahai.org/library/authoritative-texts/compilations/set-world-order/set-world-order.docx,
significance-formative-age-our-faith.xhtml,The Significance of the Formative Age of Our Faith,Compilation,xhtml,https://www.bahai.org/library/authoritative-texts/compilations/significance-formative-age-our-faith/significance-formative-age-our-faith.docx,
social-action.xhtml,Social Action,Compilation,xhtml,https://www.bahai.org/library/authoritative-texts/compilations/social-action/social-action.docx,
some-answered-questions.xhtml,Some Answered Questions,'Abdu'l-Baha,xhtml,https://www.bahai.org/library/authoritative-texts/abdul-baha/some-answered-questions/some-answered-questions.docx,
summons-lord-hosts.xhtml,The Summons of the Lord of Hosts,Baha'u'llah,xhtml,https://www.bahai.org/library/authoritative-texts/bahaullah/summons-lord-hosts/summons-lord-hosts.docx,
tabernacle-unity.xhtml,The Tabernacle of Unity,Baha'u'llah,xhtml,https://www.bahai.org/library/authoritative-texts/bahaullah/tabernacle-unity/tabernacle-unity.docx,
tablet-auguste-forel.xhtml,Tablet to Dr. Auguste Forel,'Abdu'l-Baha,xhtml,https://www.bahai.org/library/authoritative-texts/abdul-baha/tablet-auguste-forel/tablet-auguste-forel.docx,
tablets-bahaullah.xhtml,Tablets of Baha'u'llah,Baha'u'llah,xhtml,https://www.bahai.org/library/authoritative-texts/bahaullah/tablets-bahaullah/tablets-bahaullah.docx,
tablets-divine-plan.xhtml,Tablets of the Divine Plan,'Abdu'l-Baha,xhtml,https://www.bahai.org/library/authoritative-texts/abdul-baha/tablets-divine-plan/tablets-divine-plan.docx,
tablets-hague-abdul-baha.xhtml,'Abdu'l-Baha's Tablets to The Hague,'Abdu'l-Baha,xhtml,https://www.bahai.org/library/authoritative-texts/abdul-baha/tablets-hague-abdul-baha/tablets-hague-abdul-baha.xhtml,
the-institution-of-the-counsellors.xhtml,The Institution of the Counsellors,Universal House of Justice,xhtml,https://www.bahai.org/library/authoritative-texts/the-universal-house-of-justice/the-institution-of-the-counsellors/the-institution-of-the-counsellors.docx,
travelers-narrative.xhtml,A Traveler's Narrative,'Abdu'l-Baha,xhtml,https://www.bahai.org/library/authoritative-texts/abdul-baha/travelers-narrative/travelers-narrative.docx,
trustworthiness.xhtml,Trustworthiness,Compilation,xhtml,https://www.bahai.org/library/authoritative-texts/compilations/trustworthiness/trustworthiness.docx,
turning-point.xhtml,Turning Point 1996-2006,Universal House of Justice,xhtml,https://www.bahai.org/library/authoritative-texts/the-universal-house-of-justice/turning-point/turning-point.docx,
twelve-table-talks-abdul-baha.xhtml,Twelve Table Talks Given by 'Abdu'l-Baha in Akka,'Abdu'l-Baha,xhtml,https://www.bahai.org/library/authoritative-texts/abdul-baha/twelve-table-talks-abdul-baha/twelve-table-talks-abdul-baha.xhtml,
universal-house-of-justice-compilation.xhtml,The Universal House of Justice,Compilation,xhtml,https://www.bahai.org/library/authoritative-texts/compilations/universal-house-of-justice-compilation/universal-house-of-justice-compilation.xhtml,
will-testament-abdul-baha.xhtml,Will and Testament of 'Abdu'l-Baha,'Abdu'l-Baha,xhtml,https://www.bahai.org/library/authoritative-texts/abdul-baha/will-testament-abdul-baha/will-testament-abdul-baha.docx,
women.xhtml,Women,Compilation,xhtml,https://www.bahai.org/library/authoritative-texts/compilations/women/women.docx,
world-order-bahaullah.xhtml,The World Order of Baha'u'llah,Shoghi Effendi,xhtml,https://www.bahai.org/library/authoritative-texts/shoghi-effendi/world-order-bahaullah/world-order-bahaullah.docx,
